id,Prioridad,Cantidad,Ventas,Descuento,Modo_envio,Margen,Utilidad,Precio_venta,Precio_costo,Costo_envio,Nombre_cliente,Region,Segmento,Categoria,Subcategoria,Producto,Empaque,fecha_envio
3203,Normal,28,"3.375,17","0,030",Terrestre,"0,51","1670,2532","124,27","60,89","32,41",Anthony Garverick,Paraguay,Negocio,Muebles,Tapetes,"Global Push Button Manager's Chair, Indigo",Caja redonda,3/04/2017
3204,Regular,17,"364,65","0,000",Aereo regular,"0,42","153,17","21,45","12,44","6,27",Rob Haberlin,Bolivia,Consumidor,Elementos de oficina,Organizadores,Eldon Simplefile Box Office,Caja mediana,2/10/2020
3205,Regular,10,"72,00","0,060",Aereo regular,"0,35","22,204","7,66","4,98","5,49",Rob Haberlin,Argentina,Consumidor,Elementos de oficina,Papel,Xerox 1952,Caja pequena,2/10/2020
3206,Critica,10,"1.701,27","0,100",Aereo expreso,"0,36","491,47","189,03","120,98","9,07",Erin Ashbrook,Argentina,Consumidor,Elementos de oficina,Carpetas,GBC VeloBinder Electric Binding Machine,Caja pequena,11/10/2017
3207,Critica,2,"482,04","0,020",Aereo expreso,"0,38","177,0824","245,94","152,48","6,50",Erin Ashbrook,Argentina,Consumidor,Tecnologia,Perifericos,Adesso Programmable 142-Key Keyboard,Caja pequena,11/10/2017
3208,Baja,1,"18,02","0,010",Aereo regular,"0,45","8,008","18,20","10,01","1,99",Kelly Williams,Bolivia,Corporativo,Tecnologia,Perifericos,TDK 4.7GB DVD-R,Paquete pequeno,22/06/2018
3209,Baja,21,"309,93","0,020",Aereo regular,"0,49","148,6548","15,06","7,68","6,16",Tracy Zic,Paraguay,Consumidor,Elementos de oficina,Carpetas,GBC VeloBinder Strips,Caja pequena,27/07/2018
3210,Baja,5,"3.454,60","0,080",Aereo regular,"0,51","1614,65","751,00","367,99","19,99",Tracy Zic,Paraguay,Consumidor,Elementos de oficina,Carpetas,Ibico Ibimaster 300 Manual Binding System,Caja pequena,22/07/2018
3211,Baja,10,"3.827,66","0,080",Terrestre,"0,37","1206,56","416,05","262,11","62,74",Tracy Zic,Paraguay,Consumidor,Muebles,Mesas,Bevis Boat-Shaped Conference Table,Caja grande,27/07/2018
3212,Normal,20,"17.124,29","0,040",Aereo regular,"0,53","8740,488","891,89","419,19","19,99",Nicole Brennan,Peru,Oficina en casa,Elementos de oficina,Organizadores,Smead Adjustable Mobile File Trolley with Lockable Top,Caja pequena,27/04/2017
3213,Critica,33,"431,42","0,080",Aereo regular,"0,37","136,0656","14,21","8,95","2,01",Adam Shillingsburg,Bolivia,Corporativo,Elementos de oficina,Papel,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Bolsa,8/10/2018
3214,Critica,50,"1.129,08","0,030",Aereo regular,"0,39","419,08","23,28","14,20","5,30",Dan Reichenbach,Colombia,Corporativo,Muebles,Mobiliario,Coloredge Poster Frame,Bolsa,28/05/2017
3215,Normal,18,"330,16","0,100",Aereo regular,"0,52","154,116","20,38","9,78","5,76",Jay Fine,Colombia,Consumidor,Elementos de oficina,Sobres,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Caja pequena,15/09/2019
3216,Normal,8,"663,14","0,090",Aereo regular,"0,55","335,2152","91,09","40,99","19,99",Jay Fine,Colombia,Consumidor,Elementos de oficina,Papel,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Caja pequena,17/09/2019
3217,Normal,39,"1.037,32","0,070",Aereo regular,"0,45","423,852","28,60","15,73","7,42",Jay Fine,Colombia,Consumidor,Elementos de oficina,Tijeras,Acme Galleria Hot Forged Steel Scissors with Colored Handles,Paquete pequeno,17/09/2019
3218,Normal,3,"34,19","0,020",Aereo expreso,"0,40","13,2522","11,63","6,98","2,83",Trudy Brown,Paraguay,Negocio,Muebles,Mobiliario,G.E. Halogen Desk Lamp Bulbs,Paquete pequeno,10/04/2019
3219,Normal,24,"300,09","0,010",Aereo regular,"0,54","160,6488","12,63","5,81","3,37",Trudy Brown,Paraguay,Negocio,Elementos de oficina,Ligas,"Advantus Push Pins, Aluminum Head",Bolsa,12/04/2019
3220,Normal,35,"56.177,21","0,050",Terrestre,"0,52","27792,905","1.689,54","810,98","16,06",Liz MacKendrick,Colombia,Corporativo,Tecnologia,Maquinas de oficina,Okidata ML591 Wide Format Dot Matrix Printer,Caja redonda,22/10/2018
3221,Normal,7,"62,56","0,070",Aereo regular,"0,44","24,9011","9,61","5,38","7,57",Lori Olson,Colombia,Consumidor,Elementos de oficina,Carpetas,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Caja pequena,14/06/2019
3222,Regular,41,"14.050,63","0,010",Aereo regular,"0,37","5109,3544","346,16","218,08","18,06",Barry Blumstein,Bolivia,Negocio,Muebles,Tapetes,"Lifetime Advantage Folding Chairs, 4/Carton",Caja larga,26/09/2017
3223,Regular,43,"326,11","0,040",Aereo regular,"0,37","111,972","7,90","4,98","4,62",Barry Blumstein,Bolivia,Negocio,Tecnologia,Perifericos,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Paquete pequeno,26/09/2017
3224,Alta,18,"3.201,63","0,050",Aereo regular,"0,47","1415,493","187,23","99,23","8,99",MaryBeth Skach,Paraguay,Oficina en casa,Muebles,Mobiliario,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Paquete pequeno,10/02/2020
3225,Alta,16,"198,20","0,020",Aereo regular,"0,44","84,9152","12,64","7,08","2,35",MaryBeth Skach,Paraguay,Oficina en casa,Elementos de oficina,Boligrafos,SANFORD Major Accent Highlighters,Bolsa,8/02/2020
3226,Baja,46,"35.936,58","0,000",Aereo expreso,"0,36","12937,04","781,23","499,99","24,49",Darren Budd,Peru,Oficina en casa,Tecnologia,Copiadoras,Sharp AL-1530CS Digital Copier,Caja larga,22/09/2018
3227,Critica,22,"2.586,08","0,100",Aereo regular,"0,38","804,518","130,61","80,98","7,18",Karl Brown,Argentina,Oficina en casa,Tecnologia,Perifericos,Logitech Cordless Navigator Duo,Caja pequena,25/06/2019
3228,Critica,27,"338,99","0,070",Aereo regular,"0,52","164,025","13,50","6,48","5,11",Karl Brown,Argentina,Oficina en casa,Elementos de oficina,Papel,Xerox 231,Caja pequena,25/06/2019
3229,Regular,20,"8.723,20","0,060",Aereo expreso,"0,53","4361,6","464,00","218,08","18,06",Tim Brockman,Bolivia,Consumidor,Muebles,Tapetes,"Lifetime Advantage Folding Chairs, 4/Carton",Caja larga,23/05/2017
3230,Baja,13,"2.010,45","0,070",Aereo regular,"0,42","756,5961","166,29","96,45","13,99",Alex Russell,Bolivia,Oficina en casa,Tecnologia,Maquinas de oficina,Soundgear TeleForum DX Desktop Conference Phone,Caja mediana,29/04/2020
3231,Baja,16,"5.429,44","0,060",Terrestre,"0,40","1963,84","361,00","216,60","64,20",Harry Marie,Argentina,Consumidor,Muebles,Tapetes,Hon Multipurpose Stacking Arm Chairs,Caja redonda,28/07/2020
3232,Baja,8,"231,95","0,030",Aereo regular,"0,44","98,0264","29,89","16,74","7,04",Harry Marie,Argentina,Consumidor,Elementos de oficina,Organizadores,Rogers Profile Extra Capacity Storage Tub,Caja pequena,2/08/2020
3233,Alta,39,"496,10","0,050",Aereo regular,"0,39","177,4695","13,39","8,17","1,69",Naresj Patel,Argentina,Negocio,Elementos de oficina,Papel,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Bolsa,1/08/2019
3234,Alta,48,"879,65","0,020",Aereo regular,"0,36","305,088","18,70","11,97","5,81",Naresj Patel,Argentina,Negocio,Elementos de oficina,Boligrafos,Staples SlimLine Pencil Sharpener,Paquete pequeno,1/08/2019
3235,Alta,8,"548,39","0,080",Aereo expreso,"0,45","220,5536","74,51","40,98","7,20",Stuart Calhoun,Argentina,Consumidor,Elementos de oficina,Accesorios,Kensington 6 Outlet SmartSocket Surge Protector,Caja pequena,25/05/2017
3236,Alta,32,"367,71","0,080",Aereo expreso,"0,35","107,8656","12,49","8,12","2,83",Stuart Calhoun,Argentina,Consumidor,Tecnologia,Perifericos,"Imation Neon Mac Format Diskettes, 10/Pack",Paquete pequeno,25/05/2017
3237,Alta,26,"12.843,45","0,020",Terrestre,"0,48","6028,5888","504,06","262,11","62,74",Stuart Calhoun,Argentina,Consumidor,Muebles,Mesas,Bevis Boat-Shaped Conference Table,Caja grande,25/05/2017
3238,Critica,11,"486,78","0,100",Aereo regular,"0,37","146,003","49,17","30,98","8,74",Ralph Kennedy,Bolivia,Corporativo,Elementos de oficina,Papel,Xerox 1979,Caja pequena,23/10/2018
3239,Alta,15,"1.077,28","0,030",Aereo expreso,"0,46","477,582","74,04","39,98","7,12",Penelope Sewall,Paraguay,Oficina en casa,Tecnologia,Perifericos,"IBM Active Response Keyboard, Black",Caja pequena,17/04/2018
3240,Alta,31,"299,50","0,030",Aereo regular,"0,50","145,1172","9,96","4,98","0,49",Penelope Sewall,Paraguay,Oficina en casa,Elementos de oficina,Etiquetas,Avery White Multi-Purpose Labels,Caja pequena,17/04/2018
3241,Alta,20,"206,42","0,060",Aereo regular,"0,41","76,824","10,98","6,48","8,74",Penelope Sewall,Paraguay,Oficina en casa,Elementos de oficina,Papel,Xerox 1984,Caja pequena,16/04/2018
3242,Alta,6,"26,46","0,020",Aereo regular,"0,36","9,18","4,50","2,88","0,50",Darren Budd,Peru,Oficina en casa,Muebles,Mesas,Bretford CR8500 Series Meeting Room Furniture,Caja grande,7/07/2019
3243,Regular,25,"4.238,19","0,050",Terrestre,"0,35","1338,4375","178,45","115,99","56,14",Bradley Drucker,Peru,Negocio,Tecnologia,Maquinas de oficina,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Caja redonda,2/04/2018
3244,Critica,16,"166,52","0,020",Aereo regular,"0,39","62,8416","10,62","6,48","6,81",Clay Rozendal,Peru,Corporativo,Elementos de oficina,Papel,Xerox 1930,Caja pequena,9/12/2018
3245,Critica,27,"143,40","0,060",Aereo regular,"0,49","65,637","5,65","2,88","0,99",Clay Rozendal,Peru,Corporativo,Elementos de oficina,Etiquetas,Avery 474,Caja pequena,9/12/2018
3246,Alta,5,"428,02","0,020",Aereo regular,"0,45","187,815","87,35","48,04","5,79",Pierre Wener,Colombia,Oficina en casa,Elementos de oficina,Papel,Xerox 1937,Caja pequena,18/01/2020
3247,Alta,14,"76,44","0,090",Aereo expreso,"0,40","26,04","6,00","3,60","2,20",Pierre Wener,Chile,Oficina en casa,Elementos de oficina,Papel,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",Bolsa,18/01/2020
3248,Baja,20,"2.165,76","0,040",Terrestre,"0,39","789,56","112,80","68,81","60,00",Mick Crebagga,Paraguay,Oficina en casa,Elementos de oficina,Accesorios,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Caja redonda,17/03/2019
3249,Baja,42,"13.719,22","0,050",Aereo expreso,"0,43","5487,636","343,84","195,99","3,99",Mick Crebagga,Paraguay,Oficina en casa,Tecnologia,Telefonos,CF 888,Caja pequena,18/03/2019
3250,Alta,1,"1.414,86","0,090",Terrestre,"0,48","606,3689","1.554,79","808,49","55,30",Ann Blume,Colombia,Negocio,Tecnologia,Maquinas de oficina,"Hewlett-Packard Business Color Inkjet 3000 [N, DTN] Series Printers",Caja redonda,4/11/2018
3251,Critica,20,"957,67","0,060",Aereo regular,"0,49","438,072","50,94","25,98","5,37",Adam Hart,Peru,Corporativo,Elementos de oficina,Accesorios,3M Office Air Cleaner,Caja mediana,4/07/2020
3252,Critica,34,"10.656,09","0,050",Aereo regular,"0,53","5384,053","329,91","155,06","7,07",Adam Hart,Peru,Corporativo,Elementos de oficina,Organizadores,"Dual Level, Single-Width Filing Carts",Caja pequena,4/07/2020
3253,Alta,4,"39,08","0,020",Aereo regular,"0,40","15,1624","9,97","5,98","3,85",Adam Hart,Peru,Corporativo,Tecnologia,Perifericos,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",Paquete pequeno,20/04/2019
3254,Alta,3,"27,93","0,050",Aereo regular,"0,39","9,99","9,80","5,98","5,20",Adam Hart,Peru,Corporativo,Elementos de oficina,Papel,Xerox 1992,Caja pequena,20/04/2019
3255,Regular,39,"511,06","0,090",Aereo regular,"0,55","258,336","14,40","6,48","6,22",Ralph Arnett,Chile,Consumidor,Elementos de oficina,Papel,Xerox 1894,Caja pequena,22/06/2017
3256,Alta,39,"9.326,23","0,030",Terrestre,"0,41","3653,6799","246,53","145,45","17,85",Resi Polking,Bolivia,Negocio,Tecnologia,Maquinas de oficina,Panasonic KX-P1150 Dot Matrix Printer,Caja redonda,16/09/2018
3257,Baja,4,"50,62","0,050",Aereo regular,"0,40","18,656","13,32","7,99","5,03",Maris LaWare,Peru,Oficina en casa,Tecnologia,Telefonos,Bell Sonecor JB700 Caller ID,Caja mediana,19/01/2019
3258,Baja,47,"11.030,34","0,050",Aereo regular,"0,49","5108,806","247,04","125,99","8,99",Maris LaWare,Peru,Oficina en casa,Tecnologia,Telefonos,SC7868i,Caja pequena,30/12/2018
3259,Normal,44,"936,88","0,040",Aereo regular,"0,35","302,4032","22,18","14,42","6,75",Michael Dominguez,Argentina,Oficina en casa,Elementos de oficina,Accesorios,Holmes Odor Grabber,Caja mediana,6/08/2017
3260,Normal,32,"382,77","0,040",Aereo regular,"0,52","191,4112","12,46","5,98","5,79",Michael Dominguez,Argentina,Oficina en casa,Elementos de oficina,Papel,Xerox 1903,Caja pequena,7/08/2017
3261,Normal,16,"1.828,88","0,030",Aereo regular,"0,44","773,0368","117,84","65,99","8,99",Michael Dominguez,Argentina,Oficina en casa,Tecnologia,Telefonos,Talkabout T8367,Caja pequena,6/08/2017
3262,Baja,30,"738,64","0,010",Aereo expreso,"0,37","268,539","24,87","15,67","1,39",Jocasta Rupert,Colombia,Consumidor,Elementos de oficina,Sobres,"#10 White Business Envelopes,4 1/8 x 9 1/2",Caja pequena,11/05/2017
3263,Critica,2,"4,31","0,060",Aereo regular,"0,45","1,7852","2,29","1,26","0,70",Benjamin Patterson,Peru,Corporativo,Elementos de oficina,Ligas,Bagged Rubber Bands,Bolsa,4/07/2018
3264,Critica,36,"4.743,36","0,040",Aereo regular,"0,41","1828,08","137,25","80,98","35,00",Benjamin Patterson,Peru,Corporativo,Elementos de oficina,Organizadores,Carina Double Wide Media Storage Towers in Natural & Black,Caja larga,4/07/2018
3265,Critica,7,"671,25","0,070",Aereo regular,"0,36","209,3161","103,11","65,99","5,26",Benjamin Patterson,Peru,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,3/07/2018
3266,Normal,45,"1.526,85","0,100",Aereo regular,"0,47","627,75","37,70","19,98","10,49",Randy Bradley,Paraguay,Negocio,Muebles,Mobiliario,12-1/2 Diameter Round Wall Clock,Caja pequena,29/08/2018
3267,Baja,46,"461,17","0,020",Aereo regular,"0,52","235,3084","10,23","4,91","4,97",Robert Dilbeck,Paraguay,Corporativo,Elementos de oficina,Carpetas,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Caja pequena,5/06/2020
3268,Regular,12,"208,23","0,060",Aereo regular,"0,43","81,9888","18,46","10,52","7,94",Tim Taslimi,Peru,Corporativo,Muebles,Mobiliario,Ultra Door Pull Handle,Paquete pequeno,21/11/2018
3269,Regular,5,"399,50","0,040",Aereo regular,"0,35","129,004","83,23","54,10","19,99",Tim Taslimi,Peru,Corporativo,Elementos de oficina,Organizadores,Desktop 3-Pocket Hot File,Caja pequena,19/11/2018
3270,Normal,24,"7.730,64","0,000",Aereo regular,"0,35","2705,76","322,11","209,37","69,00",Jennifer Ferguson,Chile,Oficina en casa,Muebles,Mesas,Hon 2111 Invitation Series Corner Table,Caja larga,18/08/2017
3271,Alta,45,"185,33","0,010",Aereo regular,"0,50","91,728","4,16","2,08","1,49",Kean Nguyen,Argentina,Negocio,Elementos de oficina,Carpetas,Round Ring Binders,Caja pequena,30/04/2018
3272,Normal,31,"2.472,69","0,010",Aereo regular,"0,51","1248,8133","80,57","39,48","1,99",Janet Martin,Peru,Corporativo,Tecnologia,Perifericos,"80 Minute CD-R Spindle, 100/Pack - Staples",Paquete pequeno,29/10/2020
3273,Baja,30,"20.443,32","0,080",Terrestre,"0,46","8443,92","740,70","399,98","12,06",Quincy Jones,Peru,Oficina en casa,Tecnologia,Maquinas de oficina,Okidata ML320 Series Turbo Dot Matrix Printers,Caja grande,20/06/2018
3274,Normal,19,"214,32","0,060",Aereo regular,"0,46","91,2","12,00","6,48","7,37",Carol Adams,Chile,Corporativo,Elementos de oficina,Papel,Xerox 210,Caja pequena,14/03/2017
3275,Alta,14,"406,10","0,010",Aereo expreso,"0,54","217,378","29,30","13,48","4,51",Randy Bradley,Paraguay,Negocio,Elementos de oficina,Organizadores,"Tenex Personal Project File with Scoop Front Design, Black",Caja pequena,29/12/2018
3276,Critica,45,"1.526,69","0,070",Aereo regular,"0,37","492,588","36,48","22,98","1,99",Erin Ashbrook,Argentina,Consumidor,Tecnologia,Perifericos,"Memorex 80 Minute CD-R, 30/Pack",Paquete pequeno,18/02/2019
3277,Critica,12,"51,87","0,090",Aereo regular,"0,47","21,63","4,75","2,52","1,92",Erin Ashbrook,Argentina,Consumidor,Elementos de oficina,Tijeras,Letter Slitter,Bolsa,17/02/2019
3278,Baja,30,"650,56","0,090",Aereo regular,"0,37","200,259","23,83","15,01","8,40",Cindy Chapman,Peru,Corporativo,Elementos de oficina,Carpetas,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Caja pequena,15/08/2019
3279,Baja,22,"5.062,27","0,030",Aereo regular,"0,49","2400,7148","237,22","120,98","9,07",Cindy Chapman,Peru,Corporativo,Elementos de oficina,Carpetas,GBC VeloBinder Electric Binding Machine,Caja pequena,17/08/2019
3280,Alta,41,"2.039,54","0,020",Aereo regular,"0,55","1103,0968","50,76","22,84","8,18",Alan Shonely,Colombia,Negocio,Elementos de oficina,Papel,Xerox 1991,Caja pequena,30/10/2020
3281,Critica,28,"281,10","0,060",Aereo regular,"0,50","131,5776","10,68","5,34","5,63",Beth Thompson,Argentina,Corporativo,Elementos de oficina,Carpetas,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Caja pequena,19/03/2017
3282,Critica,19,"1.911,54","0,070",Aereo expreso,"0,39","657,7306","108,18","65,99","5,26",Beth Thompson,Argentina,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,21/03/2017
3283,Critica,30,"47.872,22","0,040",Terrestre,"0,47","21442,824","1.662,23","880,98","44,55",Julia West,Peru,Oficina en casa,Muebles,Librerias,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Caja grande,7/01/2017
3284,Alta,29,"146,56","0,030",Aereo regular,"0,37","51,4373","5,21","3,28","3,97",Julia Barnett,Peru,Oficina en casa,Elementos de oficina,Boligrafos,Newell 342,Bolsa,8/01/2017
3285,Alta,42,"3.526,59","0,020",Aereo expreso,"0,44","1511,4288","85,68","47,98","3,61",Ritsa Hightower,Argentina,Corporativo,Tecnologia,Perifericos,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Paquete pequeno,28/08/2020
3286,Critica,20,"2.639,52","0,060",Aereo expreso,"0,53","1319,72","140,40","65,99","8,99",Alan Shonely,Chile,Negocio,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,13/04/2019
3287,Critica,19,"4.484,99","0,100",Aereo regular,"0,39","1445,178","262,28","159,99","5,50",Alan Shonely,Chile,Negocio,Tecnologia,Perifericos,Gyration RF Keyboard,Caja pequena,12/04/2019
3288,Critica,36,"411,80","0,100",Aereo regular,"0,49","178,524","12,71","6,48","8,73",Alan Shonely,Chile,Negocio,Elementos de oficina,Papel,Xerox 227,Caja pequena,13/04/2019
3289,Critica,8,"284,98","0,020",Aereo regular,"0,45","125,064","36,35","19,99","11,17",Alan Shonely,Argentina,Negocio,Muebles,Mobiliario,Telescoping Adjustable Floor Lamp,Caja larga,12/04/2019
3290,Alta,28,"209,40","0,040",Aereo expreso,"0,47","93,7552","7,79","4,13","0,99",Sandra Glassco,Argentina,Oficina en casa,Elementos de oficina,Etiquetas,Avery 491,Caja pequena,30/04/2017
3291,Alta,46,"4.797,91","0,060",Aereo regular,"0,50","2245,8304","110,96","55,48","14,30",Sandra Glassco,Argentina,Oficina en casa,Elementos de oficina,Papel,Xerox 194,Caja pequena,30/04/2017
3292,Alta,29,"154,65","0,090",Aereo regular,"0,37","47,6354","5,86","3,69","0,50",Adam Hart,Peru,Corporativo,Elementos de oficina,Etiquetas,Avery 52,Caja pequena,12/12/2020
3293,Alta,5,"525,70","0,060",Aereo regular,"0,41","195,745","111,85","65,99","8,99",Adam Hart,Peru,Corporativo,Tecnologia,Telefonos,V 3600 Series,Caja pequena,12/12/2020
3294,Normal,34,"20.951,72","0,050",Aereo expreso,"0,44","8601,218","648,66","363,25","19,99",Patrick Gardner,Colombia,Consumidor,Elementos de oficina,Accesorios,Hoover WindTunnel Plus Canister Vacuum,Caja pequena,10/01/2019
3295,Regular,7,"1.445,68","0,020",Aereo regular,"0,35","486,8164","210,74","136,98","24,49",Keith Dawkins,Paraguay,Oficina en casa,Muebles,Mobiliario,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Caja larga,1/06/2019
3296,Baja,4,"39,44","0,010",Aereo regular,"0,50","19,5216","9,96","4,98","4,72",Julie Prescott,Argentina,Oficina en casa,Elementos de oficina,Papel,Xerox 1949,Caja pequena,11/08/2019
3297,Baja,17,"1.047,44","0,030",Terrestre,"0,50","507,5248","63,52","31,76","45,51",Julie Prescott,Argentina,Oficina en casa,Muebles,Mesas,Hon iLevel Computer Training Table,Caja grande,14/08/2019
3298,Baja,14,"860,97","0,030",Aereo expreso,"0,55","461,552","63,40","28,53","1,49",Cynthia Arntzen,Paraguay,Oficina en casa,Elementos de oficina,Carpetas,Lock-Up Easel 'Spel-Binder',Caja pequena,25/07/2018
3299,Baja,9,"310,91","0,020",Aereo regular,"0,49","149,085","35,25","17,98","8,51",Cynthia Arntzen,Paraguay,Oficina en casa,Tecnologia,Maquinas de oficina,Canon P1-DHIII Palm Printing Calculator,Caja mediana,23/07/2018
3300,Critica,14,"5.086,08","0,060",Terrestre,"0,48","2272,4968","386,48","200,97","15,59",Alan Barnes,Peru,Corporativo,Tecnologia,Maquinas de oficina,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Caja redonda,14/03/2020
3301,Critica,44,"294,90","0,060",Aereo regular,"0,40","106,5768","7,13","4,28","1,60",Catherine Glotzbach,Bolivia,Oficina en casa,Elementos de oficina,Boligrafos,Newell 320,Bolsa,1/11/2020
3302,Normal,32,"329,64","0,030",Aereo regular,"0,39","122,2848","10,62","6,48","5,74",Anthony Garverick,Paraguay,Negocio,Elementos de oficina,Papel,Xerox 1994,Caja pequena,17/01/2018
3303,Regular,47,"15.839,87","0,090",Aereo regular,"0,46","6440,3395","370,35","199,99","24,49",Becky Martin,Argentina,Oficina en casa,Tecnologia,Copiadoras,Canon PC-428 Personal Copier,Caja larga,28/08/2020
3304,Regular,6,"361,90","0,040",Aereo expreso,"0,40","135,7008","62,83","37,70","2,99",Christy Brittain,Peru,Consumidor,Elementos de oficina,Carpetas,Vinyl Sectional Post Binders,Caja pequena,7/05/2019
3305,Normal,45,"5.017,70","0,020",Aereo regular,"0,42","2048,148","113,78","65,99","5,26",Jill Stevenson,Paraguay,Consumidor,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,29/11/2020
3306,Normal,7,"2.159,69","0,060",Aereo regular,"0,54","1102,8276","328,22","150,98","13,99",Nora Paige,Colombia,Negocio,Tecnologia,Maquinas de oficina,Canon MP41DH Printing Calculator,Caja mediana,22/12/2020
3307,Normal,45,"482,90","0,020",Aereo regular,"0,43","202,095","10,95","6,24","5,22",Nora Paige,Colombia,Negocio,Muebles,Mobiliario,Eldon Expressions Mahogany Wood Desk Collection,Caja pequena,23/12/2020
3308,Normal,48,"4.652,32","0,060",Aereo regular,"0,36","1484,8032","103,11","65,99","5,92",Nora Paige,Colombia,Negocio,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,24/12/2020
3309,Critica,44,"12.279,04","0,030",Aereo regular,"0,47","5569,916","287,70","152,48","6,50",Liz Carlisle,Paraguay,Corporativo,Tecnologia,Perifericos,Adesso Programmable 142-Key Keyboard,Caja pequena,25/09/2020
3310,Critica,4,"15,41","0,100",Aereo regular,"0,39","4,968","4,28","2,61","0,50",Liz Carlisle,Paraguay,Corporativo,Elementos de oficina,Etiquetas,Avery 494,Caja pequena,25/09/2020
3311,Regular,30,"9.984,33","0,100",Aereo regular,"0,47","4104,63","369,79","195,99","4,20",Arthur Wiediger,Argentina,Corporativo,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,8/09/2020
3312,Regular,42,"8.730,97","0,010",Aereo regular,"0,40","3439,3884","209,98","125,99","8,08",Arthur Wiediger,Argentina,Corporativo,Tecnologia,Telefonos,M3682,Caja pequena,6/09/2020
3313,Regular,27,"623,78","0,100",Aereo regular,"0,55","311,931","25,67","11,55","2,36",Sara Luxemburg,Peru,Negocio,Elementos de oficina,Boligrafos,Newell 309,Bolsa,30/08/2017
3314,Regular,8,"5.130,22","0,100",Terrestre,"0,55","2565,096","712,53","320,64","43,57",Ivan Liston,Peru,Consumidor,Muebles,Mesas,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Caja grande,7/11/2018
3315,Alta,42,"7.606,62","0,000",Aereo expreso,"0,47","3575,04","181,11","95,99","35,00",Jenna Caffey,Argentina,Consumidor,Elementos de oficina,Organizadores,Safco Industrial Wire Shelving,Caja larga,21/05/2020
3316,Regular,46,"15.566,99","0,080",Aereo regular,"0,44","6091,4488","367,84","205,99","5,00",Cynthia Delaney,Bolivia,Corporativo,Tecnologia,Telefonos,Phone 918,Caja pequena,30/06/2020
3317,Regular,38,"8.210,22","0,050",Aereo regular,"0,49","3802,603","227,43","115,99","5,92",Katrina Bavinger,Paraguay,Consumidor,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,1/12/2020
3318,Critica,17,"253,06","0,080",Aereo regular,"0,55","129,2952","16,18","7,28","5,47",Brian Stugart,Peru,Consumidor,Elementos de oficina,Papel,Southworth Structures Collection,Caja pequena,27/07/2018
3319,Baja,12,"1.159,36","0,060",Aereo regular,"0,46","493,3584","102,78","55,50","52,20",Duane Noonan,Bolivia,Corporativo,Muebles,Mobiliario,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Caja mediana,5/12/2020
3320,Baja,47,"17.824,75","0,000",Terrestre,"0,40","7129,9","379,25","227,55","32,48",Duane Noonan,Bolivia,Corporativo,Muebles,Mesas,Hon Rectangular Conference Tables,Caja grande,9/12/2020
3321,Alta,10,"621,15","0,060",Aereo regular,"0,38","211,452","66,08","40,97","1,99",Emily Grady,Bolivia,Oficina en casa,Tecnologia,Perifericos,"TDK 4.7GB DVD-R Spindle, 15/Pack",Paquete pequeno,16/12/2018
3322,Alta,26,"9.247,71","0,020",Terrestre,"0,38","3397,1912","362,94","225,02","28,66",Naresj Patel,Argentina,Negocio,Elementos de oficina,Organizadores,Tennsco Double-Tier Lockers,Caja redonda,12/08/2020
3323,Normal,44,"14.809,09","0,010",Terrestre,"0,35","5085,9732","339,97","220,98","64,66",Ricardo Block,Peru,Corporativo,Muebles,Librerias,"Bush Cubix Collection Bookcases, Fully Assembled",Caja grande,19/03/2017
